customer,date,order_id,amount
Sara,2026-01-03,1001,450000
Ali,2026-01-05,1002,800000
Mina,2026-01-08,1003,1200000
Sara,2026-01-20,1004,600000
Reza,2026-02-02,1005,900000
Ali,2026-02-07,1006,500000
Mina,2026-02-11,1007,700000
Neda,2026-02-15,1008,450000
Sara,2026-02-20,1009,800000
Reza,2026-03-02,1010,1100000
Ali,2026-03-06,1011,600000
Mina,2026-03-10,1012,900000
Neda,2026-03-15,1013,500000
Sara,2026-03-18,1014,750000
Pouya,2026-03-22,1015,650000
Ali,2026-03-25,1016,400000
Neda,2026-04-02,1017,700000
Mina,2026-04-08,1018,1500000
Sara,2026-04-12,1019,900000
Pouya,2026-04-18,1020,850000
Ali,2026-04-22,1021,550000
