date,product,category,quantity,unit_price,customer
2026-01-03,Laptop,Electronics,2,45000000,Sara
2026-01-05,Mouse,Electronics,5,800000,Ali
2026-01-08,Chair,Furniture,3,4200000,Mina
2026-01-12,Laptop,Electronics,1,45000000,Reza
2026-01-18,Notebook,Stationery,20,120000,Neda
2026-02-02,Mouse,Electronics,8,800000,Sara
2026-02-07,Chair,Furniture,4,4200000,Ali
2026-02-11,Laptop,Electronics,3,45000000,Mina
2026-02-15,Notebook,Stationery,30,120000,Reza
2026-02-20,Mouse,Electronics,10,800000,Neda
2026-02-25,Chair,Furniture,2,4200000,Sara
2026-03-02,Laptop,Electronics,2,45000000,Ali
2026-03-06,Mouse,Electronics,12,800000,Mina
2026-03-10,Chair,Furniture,5,4200000,Reza
2026-03-15,Notebook,Stationery,40,120000,Neda
2026-04-02,Laptop,Electronics,3,45000000,Sara
2026-04-08,Mouse,Electronics,15,800000,Ali
2026-04-12,Chair,Furniture,4,4200000,Mina
2026-04-18,Notebook,Stationery,50,120000,Reza
2026-04-22,Laptop,Electronics,2,45000000,Neda
