transaction_id,customer,amount,transaction_type,city
1,Sara,450000,Purchase,Tehran
2,Ali,780000,Purchase,Shiraz
3,Mina,520000,Purchase,Tehran
4,Reza,1250000,Purchase,Tabriz
5,Neda,680000,Purchase,Tehran
6,Arman,920000,Purchase,Shiraz
7,Sina,550000,Purchase,Isfahan
8,Maryam,430000,Purchase,Tehran
9,Pouya,760000,Purchase,Isfahan
10,Leila,610000,Purchase,Shiraz
11,Sara,480000,Purchase,Tehran
12,Ali,850000,Purchase,Shiraz
13,Mina,590000,Purchase,Tehran
14,Reza,14500000,Purchase,Tabriz
15,Neda,720000,Purchase,Tehran
16,Arman,980000,Purchase,Shiraz
17,Sina,510000,Purchase,Isfahan
18,Maryam,460000,Purchase,Tehran
19,Pouya,820000,Purchase,Isfahan
20,Leila,640000,Purchase,Shiraz
21,Sara,530000,Purchase,Tehran
22,Ali,910000,Purchase,Shiraz
23,Mina,570000,Purchase,Tehran
24,Reza,13200000,Purchase,Tabriz
25,Neda,690000,Purchase,Tehran
